.\pictureDatabase\img (1).jpg~1166,139,0,0,458,518,12,0,0,0,0,0,0,0,0,0,161,26,0,0,395,5838,5842,0,6,62,2624,96,0,0,0,0,0,0,0,0,2,575,23,0,0,854,5230,974,0,0,23,395,0,3,0,0,0,2,14,0,0,38,237,109,0,0,207,10271
.\pictureDatabase\img (10).jpg~4697,250,0,0,2518,668,2,0,0,0,2,0,0,0,1,0,161,53,0,0,2133,3673,235,0,331,909,991,135,0,0,1,1,0,0,0,0,36,1210,86,0,28,1099,4523,747,0,10,65,8111,0,0,0,0,0,13,6,0,0,21,436,117,0,0,238,2793
.\pictureDatabase\img (100).jpg~12316,2,0,0,6880,153,0,0,16,0,0,0,0,0,0,0,905,9,0,0,3792,4028,1,0,268,3505,53,0,0,0,0,0,39,25,0,0,2,409,1,0,2,1627,954,9,0,1,131,37,0,0,0,0,0,4,0,0,0,2,33,2,0,6,50,1038
.\pictureDatabase\img (101).jpg~6852,0,0,0,7813,8,0,0,1021,10,0,0,0,0,0,0,109,11,0,0,1011,579,0,0,4793,4789,5,0,0,1,0,0,0,0,0,0,0,243,537,0,31,301,3843,165,0,18,88,31,0,0,0,0,0,0,2,0,0,3,353,620,0,0,105,2958
.\pictureDatabase\img (102).jpg~1413,0,0,0,2488,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,5154,1594,0,0,1172,11797,0,0,0,0,0,0,806,0,0,0,423,51,0,0,148,7835,15,0,0,0,1,0,476,80,0,0,472,373,11,0,534,284,61,0,36,170,329,41
.\pictureDatabase\img (103).jpg~4282,2,0,0,3709,2244,0,0,5,52,0,0,0,0,0,0,1926,20,0,0,1702,9298,233,0,177,1742,293,0,0,0,0,0,399,85,0,0,169,688,237,0,106,920,6076,2,5,56,38,5,1,0,0,0,0,12,8,0,0,15,241,2,0,10,490,1050
.\pictureDatabase\img (104).jpg~8657,229,9,0,2359,263,5,0,3,0,0,0,0,0,0,0,1425,783,3,0,2488,4533,238,0,946,1231,238,1,49,16,0,0,171,876,72,0,129,388,156,3,445,1181,2362,352,183,419,673,392,0,54,20,3,0,51,29,8,194,195,48,179,72,604,548,3017
.\pictureDatabase\img (105).jpg~9759,450,2,0,2055,269,3,0,7,0,0,0,0,0,0,0,1400,532,0,0,2149,4138,177,1,907,1221,281,1,85,23,0,0,133,536,49,0,96,483,131,0,354,1068,4030,241,152,342,551,234,0,20,5,0,0,17,17,7,116,161,171,331,38,447,397,2713
.\pictureDatabase\img (106).jpg~12944,4,0,0,3829,218,0,0,0,0,0,0,0,0,0,0,213,2,0,0,5108,2843,8,0,535,1314,21,0,0,0,0,0,0,0,0,0,412,75,0,0,3367,653,149,2,55,4,27,7,0,0,0,0,0,0,0,0,1223,43,2,0,3052,81,4,105
.\pictureDatabase\img (107).jpg~14250,0,0,0,2975,57,0,0,1,3,0,0,0,0,0,0,504,0,0,0,6457,971,0,0,1288,713,0,0,0,0,0,0,1,0,0,0,776,113,0,0,2899,558,7,0,90,10,0,0,0,0,0,0,22,0,0,0,974,92,1,0,3403,119,16,0
.\pictureDatabase\img (108).jpg~9982,15,0,0,5577,45,0,0,0,0,0,0,0,0,0,0,45,30,0,0,4166,3630,22,0,163,2555,54,0,0,0,0,0,19,186,104,0,4,234,204,21,3,1161,2097,381,0,4,164,177,0,7,13,3,1,39,51,26,0,6,235,1468,0,0,72,3336
.\pictureDatabase\img (109).jpg~6308,391,0,0,3209,763,0,0,3,0,0,0,0,0,0,0,39,15,0,0,2354,8031,304,0,805,2777,485,0,0,1,0,0,0,0,0,0,29,55,16,0,177,1722,2492,218,42,711,829,224,0,0,0,0,0,0,0,0,5,30,35,68,9,96,641,3416
.\pictureDatabase\img (11).jpg~13755,222,0,0,77,551,1,0,0,0,0,0,0,0,0,0,228,18,0,0,188,3718,786,0,0,22,957,486,0,0,0,0,0,0,0,0,0,144,78,0,0,33,4370,2498,0,0,269,853,0,0,0,0,0,0,0,0,0,0,198,11,0,0,280,6557
.\pictureDatabase\img (110).jpg~6807,497,0,0,2638,773,0,0,3,0,0,0,0,0,0,0,46,29,0,0,1906,8645,419,0,631,2898,570,0,2,1,0,0,0,0,0,0,27,69,35,0,129,1698,2771,239,37,644,1011,247,0,0,0,0,0,0,0,0,3,47,42,87,3,97,716,2533
.\pictureDatabase\img (111).jpg~3196,0,0,0,6520,4,0,0,571,3,0,0,0,0,0,0,148,73,0,0,3524,536,0,0,4981,3082,52,0,99,23,1,0,0,717,2980,7,121,505,364,3,140,1497,715,4,100,565,2297,187,0,0,689,821,0,0,107,142,0,6,211,111,3,87,387,721
.\pictureDatabase\img (112).jpg~9392,35,0,0,5846,1335,0,0,59,52,0,0,0,0,0,0,165,15,0,0,1851,4956,128,0,170,2370,562,1,1,5,4,0,1,0,0,0,3,874,108,0,2,1686,4299,207,9,60,162,257,0,0,0,0,0,0,2,0,0,0,406,268,1,4,103,901
.\pictureDatabase\img (113).jpg~6037,4,0,0,7497,303,0,0,1,0,0,0,0,0,0,0,964,222,0,0,4017,2611,25,0,683,1916,31,0,0,0,0,0,0,722,755,0,21,217,2265,59,150,690,1355,288,13,93,90,59,0,2,91,6,0,0,249,229,0,0,184,1087,0,5,106,3253
.\pictureDatabase\img (114).jpg~5884,21,0,0,2178,28,0,0,3,0,0,0,0,0,0,0,271,24,0,0,3183,1965,13,0,1725,6262,110,0,2,38,1,0,628,0,0,0,733,245,21,0,307,3392,1804,25,1,1297,1146,5,953,81,0,0,1332,528,1,0,423,139,102,17,47,107,786,472
.\pictureDatabase\img (115).jpg~5972,67,0,0,3181,401,4,0,15,6,147,5,0,0,0,0,2075,19,0,0,4103,3247,30,0,763,3889,295,3,0,0,0,0,24,0,0,0,906,653,27,0,1011,1737,678,14,5,20,77,9,0,0,0,0,6,34,1,0,1940,729,20,0,585,2034,1345,223
.\pictureDatabase\img (116).jpg~6291,3,0,0,3803,23,0,0,2,0,0,0,0,0,0,0,453,340,1,0,6733,2186,12,0,1212,1796,111,0,0,0,0,0,56,1090,1208,0,69,1179,2201,17,142,1732,1195,43,4,19,134,125,0,3,190,19,0,34,1030,462,4,63,611,547,0,0,44,1113
.\pictureDatabase\img (117).jpg~4187,0,0,0,5688,62,0,0,586,183,0,0,0,1,0,0,245,2,0,0,2303,738,0,0,2457,3835,89,0,59,233,103,0,549,118,0,0,472,884,7,0,320,1060,406,0,97,457,741,36,915,4663,166,0,140,2605,743,0,69,221,283,3,81,102,235,156
.\pictureDatabase\img (118).jpg~6887,11,0,0,10042,994,0,0,254,149,0,0,0,0,0,0,421,758,16,0,943,1385,68,0,1500,1255,86,0,1,0,0,0,1,465,1370,140,27,293,1240,274,87,592,1096,222,23,100,186,43,0,0,54,441,0,0,56,1260,0,0,114,1523,0,0,75,1848
.\pictureDatabase\img (119).jpg~4968,4,0,0,4862,212,0,0,5,0,0,0,0,0,0,0,199,358,0,0,2035,1851,5,0,500,860,37,0,0,0,0,0,2,1711,6098,28,61,723,1021,16,318,1000,726,1,9,45,149,21,0,1,2764,1833,0,3,720,1115,1,31,466,922,2,21,220,376
.\pictureDatabase\img (12).jpg~6194,25,0,0,9,155,2,0,0,24,16,0,0,0,0,0,1730,487,0,0,2398,5113,65,0,0,419,622,1433,0,0,2,4,0,0,0,0,0,1259,33,0,0,1507,4536,3831,0,0,446,1728,0,0,0,0,0,0,0,0,0,1,41,3,0,0,471,3746
.\pictureDatabase\img (120).jpg~16273,10,0,0,3481,229,0,0,3,0,0,0,0,0,0,0,91,5,0,0,962,1741,1,0,187,1585,49,0,0,0,0,0,0,0,0,0,16,75,32,0,21,488,3786,341,0,13,331,243,0,0,0,0,0,0,0,0,0,45,156,469,0,6,355,5306
.\pictureDatabase\img (121).jpg~7424,33,0,0,3842,527,0,0,5,3,0,0,0,0,0,0,423,696,18,0,1024,2437,63,0,223,2060,260,0,0,1,0,0,8,521,1112,158,6,672,2624,887,29,794,2105,586,0,41,145,25,0,0,53,164,0,9,135,1138,4,42,439,2952,0,1,246,2365
.\pictureDatabase\img (122).jpg~3064,24,0,0,4302,390,1,0,3,2,0,0,0,0,0,0,175,149,0,0,4043,7797,99,0,649,5210,705,1,0,1,0,0,0,273,135,0,50,430,226,1,145,1889,1760,212,0,40,142,405,0,3,29,2,0,1,51,37,104,145,38,25,32,199,175,3136
.\pictureDatabase\img (123).jpg~4031,9,0,0,4570,132,0,0,7,3,0,0,0,0,0,0,120,267,2,0,4050,5835,29,0,999,6448,215,0,0,0,0,0,3,705,460,0,33,355,474,7,145,2411,2073,101,1,101,195,125,0,2,121,25,2,0,153,150,125,53,57,141,14,28,66,1457
.\pictureDatabase\img (124).jpg~4517,5,0,0,5632,49,0,0,1,0,0,0,0,0,0,0,421,40,0,0,7433,1331,38,0,4059,1345,120,0,0,0,0,0,702,58,37,0,1664,931,181,4,402,2164,1141,151,2,58,121,145,0,0,9,10,11,50,88,192,6,458,500,242,0,10,305,1667
.\pictureDatabase\img (125).jpg~17536,0,0,0,7800,5,0,0,0,0,0,0,0,0,0,0,195,0,0,0,3896,700,0,0,539,578,23,0,0,0,0,0,60,0,0,0,403,21,0,0,48,162,50,0,0,0,0,0,8,0,0,0,2113,27,0,0,1869,266,0,0,1,0,0,0
.\pictureDatabase\img (126).jpg~16010,14,0,0,4471,70,0,0,0,0,0,0,0,0,0,0,3875,96,0,0,3852,1653,22,0,363,166,77,0,0,0,0,0,1318,220,0,0,241,636,50,0,82,541,402,10,12,178,205,17,17,10,0,0,16,140,32,0,1,149,236,22,0,63,373,660
